Full Name,Weight,Date,Location,Division,Sex,Class,Equipment,Lift,Record Type,Record Name
Standard,70,,,Open,M,52,Bare,B,Single Lift,National
Standard,130,,,Open,M,52,Bare,D,Single Lift,National
Standard,82.5,,,Open,M,56,Bare,B,Single Lift,National
Standard,150,,,Open,M,56,Bare,D,Single Lift,National
Standard,92.5,,,Open,M,60,Bare,B,Single Lift,National
Standard,172.5,,,Open,M,60,Bare,D,Single Lift,National
Standard,115,,,Open,M,67.5,Bare,B,Single Lift,National
Amar Ahmed,215,14/09/2025,International Event,Open,M,67.5,Bare,D,Single Lift,National
Standard,132.5,,,Open,M,75,Bare,B,Single Lift,National
Standard,247.5,,,Open,M,75,Bare,D,Single Lift,National
Michael Bond,185,27/04/2025,East Midlands,Open,M,82.5,Bare,B,Single Lift,National
Standard,277.5,,,Open,M,82.5,Bare,D,Single Lift,National
Standard,157.5,,,Open,M,90,Bare,B,Single Lift,National
Standard,292.5,,,Open,M,90,Bare,D,Single Lift,National
John Walsh,190,02/06/2024,Specialist Event,Open,M,100,Bare,B,Single Lift,National
Chris Derrick,310,10/08/2025,South West,Open,M,100,Bare,D,Single Lift,National
Zilvinas Peldzious,217.5,04/05/2025,North West,Open,M,110,Bare,B,Single Lift,National
Standard,320,,,Open,M,110,Bare,D,Single Lift,National
Standard,182.5,,,Open,M,125,Bare,B,Single Lift,National
Standard,337.5,,,Open,M,125,Bare,D,Single Lift,National
Standard,200,,,Open,M,140,Bare,B,Single Lift,National
Standard,370,,,Open,M,140,Bare,D,Single Lift,National
Scott Munroe,210,17/08/2025,North West,Open,M,140+,Bare,B,Single Lift,National
Standard,382.5,,,Open,M,140+,Bare,D,Single Lift,National
Standard,90,,,OpenDT,M,52,Bare,B,Single Lift,National
Standard,165,,,OpenDT,M,52,Bare,D,Single Lift,National
Standard,100,,,OpenDT,M,56,Bare,B,Single Lift,National
Standard,185,,,OpenDT,M,56,Bare,D,Single Lift,National
Standard,110,,,OpenDT,M,60,Bare,B,Single Lift,National
Standard,205,,,OpenDT,M,60,Bare,D,Single Lift,National
Standard,127.5,,,OpenDT,M,67.5,Bare,B,Single Lift,National
Standard,237.5,,,OpenDT,M,67.5,Bare,D,Single Lift,National
Standard,142.5,,,OpenDT,M,75,Bare,B,Single Lift,National
Standard,262.5,,,OpenDT,M,75,Bare,D,Single Lift,National
Standard,150,,,OpenDT,M,82.5,Bare,B,Single Lift,National
Standard,280,,,OpenDT,M,82.5,Bare,D,Single Lift,National
Standard,155,,,OpenDT,M,90,Bare,B,Single Lift,National
Standard,287.5,,,OpenDT,M,90,Bare,D,Single Lift,National
Standard,160,,,OpenDT,M,100,Bare,B,Single Lift,National
Standard,297.5,,,OpenDT,M,100,Bare,D,Single Lift,National
Standard,165,,,OpenDT,M,110,Bare,B,Single Lift,National
Standard,305,,,OpenDT,M,110,Bare,D,Single Lift,National
Standard,167.5,,,OpenDT,M,125,Bare,B,Single Lift,National
Standard,312.5,,,OpenDT,M,125,Bare,D,Single Lift,National
Standard,172.5,,,OpenDT,M,140,Bare,B,Single Lift,National
Standard,320,,,OpenDT,M,140,Bare,D,Single Lift,National
Chris Gillard,178,07/09/2025,Lincoln,OpenDT,M,140+,Bare,B,Single Lift,National
Standard,330,,,OpenDT,M,140+,Bare,D,Single Lift,National
Standard,37.5,,,T14-15,M,52,Bare,B,Single Lift,National
Standard,70,,,T14-15,M,52,Bare,D,Single Lift,National
Standard,45,,,T14-15,M,56,Bare,B,Single Lift,National
Standard,80,,,T14-15,M,56,Bare,D,Single Lift,National
Standard,50,,,T14-15,M,60,Bare,B,Single Lift,National
Standard,92.5,,,T14-15,M,60,Bare,D,Single Lift,National
Standard,60,,,T14-15,M,67.5,Bare,B,Single Lift,National
